LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
3	20TSY32MR-L3	Brilho 45°	99.00	100.00	99.33	0.58	1	I50546	3/4/2020	100.00	99.00	99.00		
3	20TSY32MR-L3	Brilho 45°	102.00	103.00	102.33	0.58	2	I50577	3/6/2020	103.00	102.00	102.00		
3	24TFA02MR-L3	Brilho 45°	107.00	108.00	107.33	0.58	1	I50631	3/10/2020	108.00	107.00	107.00		
3	25TSBL8221MR-L3	Brilho 45°	97.00	98.00	97.67	0.58	1	i50533	3/3/2020	97.00	98.00	98.00		
3	30TPY02MR-L3	Brilho 45°	103.00	103.00	103.00	0.00	1	I50645	3/11/2020	103.00	103.00	103.00		
3	30TSB21MR-L3	Brilho 45°	98.00	99.00	98.33	0.58	1	I50525	3/2/2020	99.00	98.00	98.00		
3	30TSB21MR-L3	Brilho 45°	100.00	100.00	100.00	0.00	2	I50705	3/15/2020	100.00	100.00	100.00		
3	45TSYL8232MR-EV	Brilho 45°	99.00	100.00	99.33	0.58	1	I50549	3/4/2020	99.00	100.00	99.00		
3	45TSYL8232MR-EV	Brilho 45°	98.00	98.00	98.00	0.00	2	I50716	3/16/2020	98.00				
3	50TPYPSL03MR-L3	Brilho 45°	100.00	100.00	100.00	0.00	1	I50636	3/10/2020	100.00				
3	50TSB21MR-L3	Brilho 45°	101.00	102.00	101.67	0.58	1	I50617	3/9/2020	102.00	101.00	102.00		
200	20CSY12	Brilho 45°	97.00	97.00	97.00	0.00	1	b3120257	3/17/2020	97.00				
200	20CSY12	Brilho 45°	97.00	97.00	97.00	0.00	2	b3120307	3/17/2020	97.00				
200	20CSY12	Brilho 45°	97.00	97.00	97.00	0.00	3	b3120345	3/17/2020	97.00				
200	30CSY12	Brilho 45°	96.00	96.00	96.00	0.00	1	b3120301	3/17/2020	96.00				
200	30CSY12	Brilho 45°	96.00	96.00	96.00	0.00	2	b3120355	3/17/2020	96.00				
200	30CSY12	Brilho 45°	96.00	96.00	96.00	0.00	3	b3120360	3/17/2020	96.00				
1	20TFC30MR	Brilho 45°	102.00	102.00	102.00	0.00	1	J58304	3/22/2020	102.00				
1	20TMAPLN02MR	Brilho 45°	68.00	74.00	70.67	3.06	1	J58325	3/23/2020	68.00	70.00	74.00		
1	20TSY32MR	Brilho 45°	102.00	103.00	102.67	0.58	1	J58265	3/18/2020	103.00	103.00	102.00		
1	25TFC30MR	Brilho 45°	101.00	101.00	101.00	0.00	1	J58307	3/22/2020	101.00				
1	25TFCL8230MR	Brilho 45°	102.00	104.00	103.00	1.00	1	J58320	3/23/2020	103.00	104.00	102.00		
2	22EP 280/32MR-L2	Brilho 45°	88.00	90.00	89.00	1.00	1	C61943	3/23/2020	88.00	89.00	90.00		
2	30TSY32MR-L2	Brilho 45°	101.00	101.00	101.00	0.00	1	C61886	3/19/2020	101.00				
2	30TSY32MRL2EV	Brilho 45°	99.00	100.00	99.33	0.58	1	C61930	3/22/2020	99.00	100.00	99.00		
2	35TSY32MR-L2	Brilho 45°	100.00	100.00	100.00	0.00	1	C61936	3/22/2020	100.00				
2	40TSY32MR-L2	Brilho 45°	100.00	100.00	100.00	0.00	1	C61939	3/23/2020	100.00				
3	17TSB21MR-L3	Brilho 45°	102.00	102.00	102.00	0.00	1	I50790	3/22/2020	102.00				
3	17TSBHTS21MR-L3	Brilho 45°	101.00	101.00	101.00	0.00	1	I50807	3/23/2020	101.00				
3	20TSB21MR-L3	Brilho 45°	101.00	102.00	101.33	0.58	1	I50755	3/20/2020	102.00	101.00	101.00		
3	25TSBL8221MR-L3	Brilho 45°	100.00	100.00	100.00	0.00	1	I50762	3/21/2020	100.00				
3	25TSY32MR-L3	Brilho 45°	103.00	103.00	103.00	0.00	1	I50745	3/19/2020	103.00				
3	45TSYL8232MR-EV	Brilho 45°	97.00	98.00	97.33	0.58	1	I50747	3/20/2020	97.00	98.00	97.00		
3	45TSYL8232MR-EV	Brilho 45°	99.00	99.00	99.00	0.00	2	I50767	3/21/2020	99.00				
3	45TSYL8232MR-L3	Brilho 45°	100.00	101.00	100.33	0.58	1	I50775	3/22/2020	100.00	101.00	100.00		
3	25TSB21MR-L3	Brilho 45°	100.00	100.00	100.00	0.00	1	I50866	3/28/2020	100.00				
