FILME	EXAME	ALVO	MIN	MAX
45TSYL8232MR-EV	TENS�O SUPERFICIAL CORONA	42	38	46
45TSYL8232MR-L3	TENS�O SUPERFICIAL CORONA	42	38	46
50TSY32MR-L2	TENS�O SUPERFICIAL CORONA	42	38	46
50TSY32MR-L3	TENS�O SUPERFICIAL CORONA	42	38	46
20TFC30MR	TIS EXT	105		108
20TFCHSK30MR	TIS EXT	105		108
20TFCL8230MR	TIS EXT	82		86
25TFC30MR	TIS EXT	105		108
25TFCL8230MR	TIS EXT	82		86
30TFC30MR	TIS EXT	105		108
20TFC30MR	TIS INT	105		108
20TFCHSK30MR	TIS INT	105		108
20TFCL8230MR	TIS INT	82		86
25TFC30MR	TIS INT	105		108
25TFCL8230MR	TIS INT	82		86
30TFC30MR	TIS INT	105		108
15TSB21MR-L3	TIS NT	112	100	120
17TSB21MR-L3	TIS NT	112	100	120
19TBPCSL32MR-L2	TIS NT	112	100	120
20TMA32MR-L2	TIS NT	105	100	110
20TMAPLN02MR	TIS NT	112	100	120
20TSB21MR-L3	TIS NT	112	100	120
22TBPCSL32MR-L2	TIS NT	112	100	120
25TSB21MR-L3	TIS NT	112	100	120
30TSB21MR-L3	TIS NT	112	100	120
45TSB21MR-L3	TIS NT	112	100	120
50TSB21MR-L3	TIS NT	112	100	120
15TSY32MR	TIS NT-NT	105		108
17TBPGFT32MR-L2	TIS NT-NT	112	100	120
17TSBHTS21MR-L3	TIS NT-NT	105	100	108
17TSY32MR	TIS NT-NT	105		108
17TSY32MR-L3	TIS NT-NT	105		108
17TSYCMS32MR	TIS NT-NT	105	100	108
17TSYHTS32MR	TIS NT-NT	105	100	108
18TSY32MR	TIS NT-NT	105		108
18TSYCSY32MR	TIS NT-NT	117	110	120
19TBPGFT32MR-L2	TIS NT-NT	112	100	120
20TBM10	TIS NT-NT	105	100	108
20TBPHGS32MR-L2	TIS NT-NT	105	100	108
20TSBHTS21MR-L3	TIS NT-NT	105	100	108
20TSBL8212MR-L2	TIS NT-NT	82		86
20TSY32MR	TIS NT-NT	105		108
20TSY32MR-L2	TIS NT-NT	105		108
20TSY32MR-L3	TIS NT-NT	105		108
20TSYHTS32MR	TIS NT-NT	105	100	108
20TSYHTS32MR-L2	TIS NT-NT	105	100	108
20TSYHTS32MR-L3	TIS NT-NT	105	100	108
20TSYL8232MR	TIS NT-NT	82		86
20TSYUHS32MR	TIS NT-NT	105	100	108
20TSYUHS32MR-L2	TIS NT-NT	105	100	108
20TSYUHS32MR-L3	TIS NT-NT	105	100	108
22TBB12MR-L2	TIS NT-NT	105	100	108
22TBM10	TIS NT-NT	105	100	108
22TBPRLB32MR-L2	TIS NT-NT	112	100	130
22TSY32MR	TIS NT-NT	105		108
25TSBL8212MR-L2	TIS NT-NT	82		86
25TSBL8212MR-L3	TIS NT-NT	82		86
25TSY32MR-L2	TIS NT-NT	105		108
25TSYCF32MR-L3	TIS NT-NT	112	100	120
26TBB12MR-EV	TIS NT-NT	105	100	108
26TBB12MR-L2	TIS NT-NT	105	100	108
26TBM10	TIS NT-NT	105	100	108
26TBPRLB32MR-L2	TIS NT-NT	112	100	130
30TSY32MR-L3	TIS NT-NT	105		108
35TSY32MR-L2	TIS NT-NT	105		108
35TSY32MR-L3	TIS NT-NT	105		108
35TSYCF32MR-L3	TIS NT-NT	112	100	120
40TBPPSL22MR-L2	TIS NT-NT	112	100	120
40TBPPSL23MR-L2	TIS NT-NT	112	100	120
40TSY32MR-L2	TIS NT-NT	105		108
40TSY32MR-L3	TIS NT-NT	105		108
45TSYL8232MR-EV	TIS NT-NT	70		86
45TSYL8232MR-L3	TIS NT-NT	82		86
50TSY32MR-L2	TIS NT-NT	105		108
50TSY32MR-L3	TIS NT-NT	105		108
15TSB21MR-L3	TIS T-T	105	100	108
15TSY32MR	TIS T-T	112		120
17TSB21MR-L3	TIS T-T	105	100	108
17TSBHTS21MR-L3	TIS T-T	112	100	120
17TSY32MR	TIS T-T	112		120
17TSY32MR-L3	TIS T-T	112		120
17TSYCMS32MR	TIS T-T	112	108	120
17TSYHTS32MR	TIS T-T	112	100	120
18TSY32MR	TIS T-T	112		120
18TSYCSY32MR	TIS T-T	105	100	115
19TBPCSL32MR-L2	TIS T-T	105	100	108
20TBPHGS32MR-L2	TIS T-T	112	100	120
20TMA12MR	TIS T-T	105	100	110
20TMA32MR-L2	TIS T-T	105	100	110
20TMAPLN02MR	TIS T-T	120	117	
20TSB21MR-L3	TIS T-T	105	100	108
20TSBHTS21MR-L3	TIS T-T	112	100	120
20TSY32MR	TIS T-T	112		120
20TSY32MR-L2	TIS T-T	112		120
20TSY32MR-L3	TIS T-T	112		120
20TSYHTS32MR	TIS T-T	112	100	120
20TSYHTS32MR-L2	TIS T-T	112	100	120
20TSYHTS32MR-L3	TIS T-T	112	100	120
20TSYL8232MR	TIS T-T	110	100	117
20TSYUHS32MR	TIS T-T	112	100	120
20TSYUHS32MR-L2	TIS T-T	112	100	120
20TSYUHS32MR-L3	TIS T-T	112	100	120
22TBB12MR-L2	TIS T-T	105	100	108
22TBPCSL32MR-L2	TIS T-T	105	100	108
22TBPRLB32MR-L2	TIS T-T	112	100	130
22TSY32MR	TIS T-T	112		120
25TSB21MR-L3	TIS T-T	105	100	108
25TSY32MR-L2	TIS T-T	112		120
26TBB12MR-EV	TIS T-T	105	100	108
26TBB12MR-L2	TIS T-T	105	100	108
26TBPRLB32MR-L2	TIS T-T	112	100	130
30TSB21MR-L3	TIS T-T	105	100	108
30TSY32MR-L3	TIS T-T	112		120
35TSY32MR-L2	TIS T-T	112		120
35TSY32MR-L3	TIS T-T	112		120
40TSY32MR-L2	TIS T-T	112		120
40TSY32MR-L3	TIS T-T	112		120
45TSB21MR-L3	TIS T-T	105	100	108
45TSYL8232MR-EV	TIS T-T	105	100	117
45TSYL8232MR-L3	TIS T-T	110	100	117
50TSB21MR-L3	TIS T-T	105	100	108
50TSY32MR-L2	TIS T-T	112		120
50TSY32MR-L3	TIS T-T	112		120
17TSBHTS21MR-L3	TPO2	3000		3300
17TSYHTS32MR	TPO2	3200		3500
20TSBHTS21MR-L3	TPO2	2800		3100
20TSYHTS32MR	TPO2	2900		3200
20TSYHTS32MR-L2	TPO2	2900		3200
20TSYHTS32MR-L3	TPO2	2900		3200
17TSBHTS21MR-L3	TPVA	8,5		9,5
17TSYHTS32MR	TPVA	7.5		8.5
20TSBHTS21MR-L3	TPVA	7		8
20TSYHTS32MR	TPVA	8.5		9.5
20TSYHTS32MR-L2	TPVA	8.5		9.5
20TSYHTS32MR-L3	TPVA	8.5		9.5
